,X,y,data_index
275,[ 98.  98. 245.  52.  15.  39.],99.0,[  7 928]
276,[ 99.  98. 240.  12.  52.  15.],112.0,[  7 929]
277,[112.  99. 242.  35.  12.  52.],103.0,[  7 930]
278,[103. 112. 238.  52.  35.  12.],109.0,[  7 931]
279,[109. 103. 221.  32.  52.  35.],93.0,[  7 932]
280,[ 93. 109. 203.  52.  32.  52.],107.0,[  7 933]
281,[107.  93. 233.  31.  52.  32.],124.0,[  7 934]
282,[124. 107. 232.  42.  31.  52.],118.0,[  7 935]
283,[118. 124. 218.  31.  42.  31.],108.0,[  7 936]
284,[108. 118. 203.  39.  31.  42.],110.0,[  7 937]
285,[110. 108. 225.  10.  39.  31.],135.0,[  7 938]
286,[135. 110. 232.  45.  10.  39.],124.0,[  7 939]
287,[124. 135. 243.  21.  45.  10.],141.0,[  7 940]
288,[141. 124. 267.  68.  21.  45.],142.0,[  7 941]
289,[142. 141. 267.  22.  68.  21.],130.0,[  7 942]
290,[130. 142. 255.  39.  22.  68.],155.0,[  7 943]
291,[155. 130. 255.  38.  39.  22.],131.0,[  7 944]
292,[131. 155. 255.  34.  38.  39.],140.0,[  7 945]
293,[140. 131. 243.  36.  34.  38.],140.0,[  7 946]
294,[140. 140. 244.  39.  36.  34.],134.0,[  7 947]
295,[134. 140. 257.  50.  39.  36.],134.0,[  7 948]
296,[134. 134. 300.  47.  50.  39.],135.0,[  7 949]
297,[135. 134. 269.  38.  47.  50.],134.0,[  7 950]
298,[134. 135. 260.  30.  38.  47.],110.0,[  7 951]
299,[110. 134. 225.  58.  30.  38.],129.0,[  7 952]
300,[101. 117. 232.  52.  13.  51.],75.0,[  7 956]
301,[ 75. 101. 221.   6.  52.  13.],98.0,[  7 957]
302,[ 98.  75. 204.  33.   6.  52.],82.0,[  7 958]
303,[ 90.  97. 213.  48.  24.  61.],111.0,[  7 962]
304,[111.  90. 238.  40.  48.  24.],118.0,[  7 963]
305,[118. 111. 237.  19.  40.  48.],137.0,[  7 964]
306,[137. 118. 310.  14.  19.  40.],142.0,[  7 965]
307,[142. 137. 307.  49.  14.  19.],120.0,[  7 966]
308,[120. 142. 320.  13.  49.  14.],146.0,[  7 967]
309,[ 96.  38. 259.  55.  22.  38.],145.0,[  8 923]
310,[145.  96. 247.  20.  55.  22.],111.0,[  8 924]
311,[111. 145. 237.  47.  20.  55.],132.0,[  8 925]
312,[132. 111. 243.  44.  47.  20.],102.0,[  8 926]
313,[102. 132. 242.  20.  44.  47.],119.0,[  8 927]
314,[119. 102. 225.  43.  20.  44.],115.0,[  8 928]
315,[115. 119. 236.   7.  43.  20.],108.0,[  8 929]
316,[108. 115. 182.  28.   7.  43.],94.0,[  8 930]
317,[ 94. 108. 152.  35.  28.   7.],69.0,[  8 931]
318,[ 69.  94. 171.  20.  35.  28.],90.0,[  8 932]
319,[ 90.  69. 166.  30.  20.  35.],87.0,[  8 933]
320,[ 87.  90. 166.  21.  30.  20.],83.0,[  8 934]
321,[ 83.  87. 140.  27.  21.  30.],64.0,[  8 935]
322,[ 64.  83. 164.  21.  27.  21.],66.0,[  8 936]
323,[ 66.  64. 135.  25.  21.  27.],63.0,[  8 937]
324,[ 63.  66. 151.   4.  25.  21.],63.0,[  8 938]
325,[ 63.  63. 179.  33.   4.  25.],74.0,[  8 939]
326,[ 74.  63. 160.  10.  33.   4.],94.0,[  8 940]
327,[ 94.  74. 144.  40.  10.  33.],64.0,[  8 941]
328,[ 64.  94. 152.  22.  40.  10.],72.0,[  8 942]
329,[ 72.  64. 138.  19.  22.  40.],69.0,[  8 943]
330,[ 69.  72. 178.  20.  19.  22.],72.0,[  8 944]
331,[ 72.  69. 144.  29.  20.  19.],73.0,[  8 945]
332,[ 73.  72. 152.  24.  29.  20.],67.0,[  8 946]
333,[ 67.  73. 138.  18.  24.  29.],68.0,[  8 947]
